ID1	ID2	ID3	RECORD #	RECORD ID
17HIS	00000	00V9W	AEG-005220	17HIS-00000-00V9W
17HIS	00000	00V9X	AEG-005221	17HIS-00000-00V9X
17HIS	00000	00V9Y	AEG-005222	17HIS-00000-00V9Y
18HIS	00000	00V9Z	AEG-005223	18HIS-00000-00V9Z
18HIS	00000	00VA0	AEG-005224	18HIS-00000-00VA0
21HIS	00000	00VA1	AEG-005225	21HIS-00000-00VA1
19HIS	00000	00VA2	AEG-005226	19HIS-00000-00VA2
19HIS	00000	00VA3	AEG-005227	19HIS-00000-00VA3
17HIS	00000	00VA4	AEG-005228	17HIS-00000-00VA4
20HIS	00000	00VA5	AEG-005229	20HIS-00000-00VA5
17HIS	00000	00VA6	AEG-005230	17HIS-00000-00VA6
17HIS	00000	00VA7	AEG-005231	17HIS-00000-00VA7
17HIS	00000	00VA8	AEG-005232	17HIS-00000-00VA8
17HIS	00000	00VA9	AEG-005233	17HIS-00000-00VA9
17HIS	00000	00VAA	AEG-005234	17HIS-00000-00VAA
21HIS	00000	00VAB	AEG-005235	21HIS-00000-00VAB
17HIS	00000	00VAC	AEG-005236	17HIS-00000-00VAC
21HIS	00000	00VAD	AEG-005237	21HIS-00000-00VAD
21HIS	00000	00VAE	AEG-005238	21HIS-00000-00VAE
21HIS	00000	00VAF	AEG-005239	21HIS-00000-00VAF
21HIS	00000	00VAG	AEG-005240	21HIS-00000-00VAG
18HIS	00000	00VAH	AEG-005241	18HIS-00000-00VAH
20HIS	00000	00VAI	AEG-005242	20HIS-00000-00VAI
17HIS	00000	00VAJ	AEG-005243	17HIS-00000-00VAJ
19HIS	00000	00VAK	AEG-005244	19HIS-00000-00VAK
18HIS	00000	00VAL	AEG-005245	18HIS-00000-00VAL
21HIS	00000	00VAM	AEG-005246	21HIS-00000-00VAM
20HIS	00000	00VAN	AEG-005247	20HIS-00000-00VAN
20HIS	00000	00VAO	AEG-005248	20HIS-00000-00VAO
18HIS	00000	00VAP	AEG-005249	18HIS-00000-00VAP
19HIS	00000	00VAQ	AEG-005250	19HIS-00000-00VAQ
19HIS	00000	00VAR	AEG-005251	19HIS-00000-00VAR
21HIS	00000	00VAS	AEG-005252	21HIS-00000-00VAS
17HIS	00000	00VAT	AEG-005253	17HIS-00000-00VAT
19HIS	00000	00VAU	AEG-005254	19HIS-00000-00VAU
19HIS	00000	00VAV	AEG-005255	19HIS-00000-00VAV
19HIS	00000	00VAW	AEG-005256	19HIS-00000-00VAW
19HIS	00000	00VAX	AEG-005257	19HIS-00000-00VAX
20HIS	00000	00VAY	AEG-005258	20HIS-00000-00VAY
19HIS	00000	00VAZ	AEG-005259	19HIS-00000-00VAZ
17HIS	00000	00VB0	AEG-005260	17HIS-00000-00VB0
21HIS	00000	00VB1	AEG-005261	21HIS-00000-00VB1
18HIS	00000	00VB2	AEG-005262	18HIS-00000-00VB2
19HIS	00000	00VB3	AEG-005263	19HIS-00000-00VB3
19HIS	00000	00VB4	AEG-005264	19HIS-00000-00VB4
19HIS	00000	00VB5	AEG-005265	19HIS-00000-00VB5
19HIS	00000	00VB6	AEG-005266	19HIS-00000-00VB6
18HIS	00000	00VB7	AEG-005267	18HIS-00000-00VB7
18HIS	00000	00VB8	AEG-005268	18HIS-00000-00VB8
21HIS	00000	00VB9	AEG-005269	21HIS-00000-00VB9
17HIS	00000	00VBA	AEG-005270	17HIS-00000-00VBA
19HIS	00000	00VBB	AEG-005271	19HIS-00000-00VBB
21HIS	00000	00VBC	AEG-005272	21HIS-00000-00VBC
21HIS	00000	00VBD	AEG-005273	21HIS-00000-00VBD
21HIS	00000	00VBE	AEG-005274	21HIS-00000-00VBE
19HIS	00000	00VBF	AEG-005275	19HIS-00000-00VBF
20HIS	00000	00VBG	AEG-005276	20HIS-00000-00VBG
18HIS	00000	00VBH	AEG-005277	18HIS-00000-00VBH
17HIS	00000	00VBI	AEG-005278	17HIS-00000-00VBI
